input,horizon,mae,mse,rmse,r2,KS,WS-dist
corr,day1,0.006969019675148512,9.78018103275882e-05,0.009889479780432751,0.7861550604796634,"KstestResult(statistic=0.08755760368663594, pvalue=0.3770339675109056, statistic_location=-0.0022415065542030622, statistic_sign=-1)",0.002867687495146741
DSE,day1,0.0081606998425791,0.00012412072258984869,0.011140948011271244,0.7286084140309677,"KstestResult(statistic=0.1382488479262673, pvalue=0.03149264396934996, statistic_location=0.005492831196835702, statistic_sign=-1)",0.004187851783375187
random1,day1,0.007336839366949807,9.340579084296833e-05,0.009664667135652854,0.795767014672229,"KstestResult(statistic=0.11059907834101383, pvalue=0.14073859130749028, statistic_location=-0.0171327367424964, statistic_sign=1)",0.003957654097438299
random2,day1,0.006725645908894921,8.933737142459322e-05,0.00945184486883874,0.804662667028271,"KstestResult(statistic=0.0967741935483871, pvalue=0.2619046604443652, statistic_location=0.0009875119282379678, statistic_sign=-1)",0.0042130920641642285
random3,day1,0.006981865261042478,8.749342264625116e-05,0.009353791885981384,0.8086944851885114,"KstestResult(statistic=0.09216589861751152, pvalue=0.3158779689329413, statistic_location=0.010354829263894036, statistic_sign=-1)",0.002825022064797262
corr,day20,0.005659359072579345,6.303249113144605e-05,0.007939300418263944,0.8106253094036109,"KstestResult(statistic=0.03525345622119816, pvalue=0.009085025550919546, statistic_location=-0.0135565567761659, statistic_sign=1)",0.0008446284904276984
DSE,day20,0.006267609089932537,7.188795125716131e-05,0.00847867626797729,0.7840199826698344,"KstestResult(statistic=0.08433179723502304, pvalue=7.620023898045619e-14, statistic_location=0.0035058329658994004, statistic_sign=-1)",0.0023409149663277183
random1,day20,0.005788673187691137,6.062498138850516e-05,0.007786204556040456,0.8178584268719726,"KstestResult(statistic=0.07419354838709677, pvalue=8.265199293590523e-11, statistic_location=0.00814059396895157, statistic_sign=-1)",0.002021098199166309
random2,day20,0.0060683057356062265,6.670505154372311e-05,0.008167316055089524,0.7995914762282543,"KstestResult(statistic=0.06543778801843318, pvalue=1.6792638293898963e-08, statistic_location=0.007423242064325604, statistic_sign=-1)",0.0025911515414970042
random3,day20,0.0054410270191085205,5.500467871001846e-05,0.007416513918952655,0.8347440530259022,"KstestResult(statistic=0.026036866359447006, pvalue=0.10548796537701921, statistic_location=-5.072273779660463e-06, statistic_sign=1)",0.0007604529771408004
corr,day5,0.005648624487190876,6.161051396308974e-05,0.007849236521031184,0.8232596629103484,"KstestResult(statistic=0.035023041474654376, pvalue=0.5189515832331372, statistic_location=-0.0130721870809793, statistic_sign=1)",0.001557214108014947
DSE,day5,0.0060385329137955055,6.768944985556601e-05,0.008227359835060457,0.8058211916223748,"KstestResult(statistic=0.08571428571428572, pvalue=0.0006861699439949871, statistic_location=0.0035048364773563726, statistic_sign=-1)",0.002055972551918341
random1,day5,0.005883077195339448,6.091826952064716e-05,0.007805015664343484,0.8252454849435656,"KstestResult(statistic=0.08110599078341015, pvalue=0.001582535710897712, statistic_location=-0.0075955530628561, statistic_sign=1)",0.0020486087614012
random2,day5,0.005460432033553485,5.524216752814335e-05,0.0074325074859123656,0.8415283580277176,"KstestResult(statistic=0.04884792626728111, pvalue=0.1501608845983985, statistic_location=-0.0102446256205439, statistic_sign=1)",0.0014821465949231348
random3,day5,0.005505530498889148,6.028432918915531e-05,0.007764298370693601,0.8270640516244039,"KstestResult(statistic=0.034101382488479264, pvalue=0.553692691216407, statistic_location=0.0140096824616193, statistic_sign=1)",0.0015652421999178584
