,IMG,ONBPO,RPTX
IMG,1.0,-0.09544514081901434,-0.6962823806197831
ONBPO,-0.09544514081901434,1.0,0.12870695917043978
RPTX,-0.6962823806197831,0.12870695917043978,1.0
