param,epoch,snapshot,grad_mean,grad_std,grad_min,grad_max,nan_count,inf_count
feature_encoder.weight,2,2023-04-26,,,,,256,0
feature_encoder.bias,2,2023-04-26,,,,,64,0
feature_norm.weight,2,2023-04-26,,,,,64,0
feature_norm.bias,2,2023-04-26,,,,,64,0
pos_conv.bias,2,2023-04-26,,,,,64,0
pos_conv.lin.weight,2,2023-04-26,,,,,4096,0
neg_conv.bias,2,2023-04-26,,,,,64,0
neg_conv.lin.weight,2,2023-04-26,,,,,4096,0
pair_norm.weight,2,2023-04-26,,,,,64,0
pair_norm.bias,2,2023-04-26,,,,,64,0
concat_norm.weight,2,2023-04-26,,,,,no_grad,no_grad
concat_norm.bias,2,2023-04-26,,,,,no_grad,no_grad
psi.0.weight,2,2023-04-26,,,,,no_grad,no_grad
psi.0.bias,2,2023-04-26,,,,,no_grad,no_grad
psi.1.weight,2,2023-04-26,,,,,no_grad,no_grad
psi.1.bias,2,2023-04-26,,,,,no_grad,no_grad
ode_func.psi.0.weight,2,2023-04-26,,,,,8192,0
ode_func.layer_norm.weight,2,2023-04-26,,,,,64,0
ode_func.layer_norm.bias,2,2023-04-26,,,,,64,0
predictor.0.weight,2,2023-04-26,,,,,4096,0
predictor.0.bias,2,2023-04-26,,,,,64,0
predictor.2.weight,2,2023-04-26,,,,,64,0
predictor.2.bias,2,2023-04-26,,,,,1,0
