input,time,horizon,mae,mse,rmse,r2,accuracy,precission,recall,F1,MCC,bce,WS-dist
DSE,stabletimes,day1,0.0104025970090089,0.0001898012307176,0.0137768367456975,0.772476165776635,0.8849999904632568,0.8955223880597015,0.9302325581395348,0.9125475285171104,0.7459898877611706,0.260915458202362,0.0062689472395802
DSE,stabletimes,day20,0.0113144309910107,0.0002970493865952,0.0172351207305094,0.6991194032004586,0.8707500100135803,0.8219971056439942,0.9200863930885528,0.86828025477707,0.7467446202694802,0.2990191578865051,0.0030138513116772
DSE,stabletimes,day5,0.0108657850191446,0.0002608493035594,0.0161508298102446,0.7234951755701291,0.8579999804496765,0.8264758497316637,0.9112426035502958,0.8667917448405253,0.719444345919542,0.3182591199874878,0.0051115886340815
DSE,unstabletimes,day1,0.0152552988343512,0.0003904757911332,0.019760460296593,0.1577433808365715,0.8450000286102295,1.0,0.8228571428571428,0.90282131661442,0.6060915267313265,0.284496009349823,0.0115494529477508
DSE,unstabletimes,day20,0.0171284377148651,0.0006072710324787,0.024642869810125,0.5615842873959114,0.8734999895095825,0.8631921824104235,0.8622559652928417,0.8627238198589257,0.7454317253182838,0.2972717583179474,0.0060027193501359
DSE,unstabletimes,day5,0.0201294385648578,0.0007253478533919,0.0269322827363728,0.5319848530220754,0.8700000047683716,0.90072202166065,0.8693379790940766,0.8847517730496454,0.736385307785646,0.2909756004810333,0.0082784158040668
corr,stabletimes,day1,0.0120503375730176,0.0002723256360971,0.016502291843777,0.6735502048754457,0.9300000071525574,0.9323308270676692,0.9612403100775194,0.9465648854961832,0.8460121656613304,0.1934667229652404,0.0060314658000317
corr,stabletimes,day20,0.0119012885824158,0.0003509367708717,0.0187333064585975,0.6445370035297564,0.9020000100135804,0.8774560496380558,0.9163066954643628,0.8964606444796619,0.804199726656875,0.2416527271270752,0.0036608357894412
corr,stabletimes,day5,0.010976942794391,0.0002776380332614,0.0166624738037747,0.7056988284252302,0.9049999713897704,0.8931297709923665,0.9230769230769232,0.9078564500484966,0.8103413773958135,0.2386063188314438,0.0035243891951152
corr,unstabletimes,day1,0.0170367702817295,0.0005461182348464,0.0233691727462998,-0.1779775048545524,0.9200000166893004,0.9491525423728814,0.96,0.9545454545454546,0.6219990593011816,0.2925059497356415,0.0038660404145411
corr,unstabletimes,day20,0.0158699392193593,0.0005524273721281,0.0235037735720924,0.6011783420246537,0.8002499938011169,0.7408944213923467,0.8714750542299349,0.8008970844754548,0.6111319667501849,0.4109547436237335,0.0053928455040702
corr,unstabletimes,day5,0.0158342895621823,0.0004914483774568,0.0221686349930899,0.682903473785766,0.7839999794960022,0.7640117994100295,0.902439024390244,0.8274760383386581,0.5575794203839792,0.4334918856620788,0.0020522233917987
